DATATYPE	 IR Spectrum
XYUNITS	 Wavenumber;PercentTransmittance
DECIMALSYMBOL	 .
1676.00	 98.11
1677.00	 98.13
1678.00	 98.14
1679.00	 98.15
1680.00	 98.16
1681.00	 98.18
1682.00	 98.20
1683.00	 98.21
1684.00	 98.22
1685.00	 98.24
1686.00	 98.24
1687.00	 98.24
1688.00	 98.25
1689.00	 98.26
1690.00	 98.27
1691.00	 98.28
1692.00	 98.29
1693.00	 98.30
1694.00	 98.32
1695.00	 98.32
1696.00	 98.30
1697.00	 98.29
1698.00	 98.29
1699.00	 98.30
1700.00	 98.30
1701.00	 98.31
1702.00	 98.32
1703.00	 98.33
1704.00	 98.33
1705.00	 98.33
1706.00	 98.32
1707.00	 98.32
1708.00	 98.31
1709.00	 98.30
1710.00	 98.30
1711.00	 98.30
1712.00	 98.30
1713.00	 98.30
1714.00	 98.30
1715.00	 98.29
1716.00	 98.27
1717.00	 98.26
1718.00	 98.28
1719.00	 98.29
1720.00	 98.30
1721.00	 98.30
1722.00	 98.30
1723.00	 98.30
1724.00	 98.29
1725.00	 98.28
1726.00	 98.28
1727.00	 98.28
1728.00	 98.27
1729.00	 98.27
1730.00	 98.26
1731.00	 98.26
1732.00	 98.25
1733.00	 98.25
1734.00	 98.25
1735.00	 98.25
1736.00	 98.24
1737.00	 98.24
1738.00	 98.24
1739.00	 98.23
1740.00	 98.23
1741.00	 98.24
1742.00	 98.26
1743.00	 98.28
1744.00	 98.30
1745.00	 98.32
1746.00	 98.34
1747.00	 98.36
1748.00	 98.39
1749.00	 98.41
1750.00	 98.43
1751.00	 98.44
1752.00	 98.46
1753.00	 98.49
1754.00	 98.52
1755.00	 98.55
1756.00	 98.58
1757.00	 98.61
1758.00	 98.63
1759.00	 98.64
1760.00	 98.65
1761.00	 98.66
1762.00	 98.67
1763.00	 98.67
1764.00	 98.68
1765.00	 98.69
1766.00	 98.71
1767.00	 98.71
1768.00	 98.72
1769.00	 98.72
1770.00	 98.72
1771.00	 98.73
1772.00	 98.73
1773.00	 98.74
1774.00	 98.75
1775.00	 98.75
1776.00	 98.76
1777.00	 98.76
1778.00	 98.76
1779.00	 98.76
1780.00	 98.76
1781.00	 98.75
1782.00	 98.75
1783.00	 98.75
1784.00	 98.75
1785.00	 98.75
1786.00	 98.74
1787.00	 98.74
1788.00	 98.74
1789.00	 98.75
1790.00	 98.76
1791.00	 98.76
1792.00	 98.75
1793.00	 98.75
1794.00	 98.76
1795.00	 98.76
1796.00	 98.77
1797.00	 98.77
1798.00	 98.77
1799.00	 98.78
1800.00	 98.79
1801.00	 98.80
1802.00	 98.79
1803.00	 98.79
1804.00	 98.79
1805.00	 98.80
1806.00	 98.82
1807.00	 98.82
1808.00	 98.82
1809.00	 98.81
1810.00	 98.81
1811.00	 98.81
1812.00	 98.81
1813.00	 98.81
1814.00	 98.81
1815.00	 98.82
1816.00	 98.82
1817.00	 98.83
1818.00	 98.83
1819.00	 98.82
1820.00	 98.81
1821.00	 98.80
1822.00	 98.80
1823.00	 98.80
1824.00	 98.81
1825.00	 98.82
1826.00	 98.84
1827.00	 98.85
1828.00	 98.86
1829.00	 98.86
1830.00	 98.84
1831.00	 98.83
1832.00	 98.82
1833.00	 98.83
1834.00	 98.84
1835.00	 98.85
1836.00	 98.86
1837.00	 98.87
1838.00	 98.87
1839.00	 98.88
1840.00	 98.88
1841.00	 98.88
1842.00	 98.89
1843.00	 98.88
1844.00	 98.87
1845.00	 98.86
1846.00	 98.85
1847.00	 98.84
1848.00	 98.84
1849.00	 98.83
1850.00	 98.83
1851.00	 98.83
1852.00	 98.84
1853.00	 98.86
1854.00	 98.87
1855.00	 98.87
1856.00	 98.88
1857.00	 98.89
1858.00	 98.89
1859.00	 98.89
1860.00	 98.88
1861.00	 98.88
1862.00	 98.89
1863.00	 98.90
1864.00	 98.91
1865.00	 98.92
1866.00	 98.91
1867.00	 98.89
1868.00	 98.86
1869.00	 98.84
1870.00	 98.83
1871.00	 98.82
1872.00	 98.82
1873.00	 98.83
1874.00	 98.83
1875.00	 98.84
1876.00	 98.84
1877.00	 98.85
1878.00	 98.86
1879.00	 98.86
1880.00	 98.86
1881.00	 98.87
1882.00	 98.87
1883.00	 98.86
1884.00	 98.85
1885.00	 98.85
1886.00	 98.86
1887.00	 98.86
1888.00	 98.86
1889.00	 98.85
1890.00	 98.83
1891.00	 98.81
1892.00	 98.80
1893.00	 98.79
1894.00	 98.80
1895.00	 98.80
1896.00	 98.80
1897.00	 98.79
1898.00	 98.77
1899.00	 98.76
1900.00	 98.77
1901.00	 98.78
1902.00	 98.79
1903.00	 98.79
1904.00	 98.81
1905.00	 98.83
1906.00	 98.86
1907.00	 98.88
1908.00	 98.88
1909.00	 98.88
1910.00	 98.87
1911.00	 98.86
1912.00	 98.85
1913.00	 98.86
1914.00	 98.86
1915.00	 98.87
1916.00	 98.86
1917.00	 98.86
1918.00	 98.85
1919.00	 98.85
1920.00	 98.87
1921.00	 98.90
1922.00	 98.92
1923.00	 98.92
1924.00	 98.91
1925.00	 98.91
1926.00	 98.91
1927.00	 98.91
1928.00	 98.91
1929.00	 98.91
1930.00	 98.90
1931.00	 98.90
1932.00	 98.90
1933.00	 98.91
1934.00	 98.91
1935.00	 98.90
1936.00	 98.89
1937.00	 98.90
1938.00	 98.90
1939.00	 98.89
1940.00	 98.88
1941.00	 98.89
1942.00	 98.91
1943.00	 98.94
1944.00	 98.97
1945.00	 98.99
1946.00	 99.00
1947.00	 98.99
1948.00	 98.98
1949.00	 98.98
1950.00	 98.98
1951.00	 98.98
1952.00	 98.97
1953.00	 98.94
1954.00	 98.91
1955.00	 98.89
1956.00	 98.91
1957.00	 98.96
1958.00	 99.02
1959.00	 99.04
1960.00	 99.02
1961.00	 98.99
1962.00	 98.95
1963.00	 98.90
1964.00	 98.86
1965.00	 98.85
1966.00	 98.87
